Date,BlockType,AM,PM
6/28/16,"NHO" ,NA,NA
7/13/16,"BM ",NA,"M,T,F"
7/27/16,"BM ",NA,"M,T,F"
8/10/16,"NA ",NA,NA
8/24/16,"Clinics ",NA,"T, F"
9/7/16,"Clinics ",NA,"T, F"
9/21/16,"HospMed 1A ",NA,"T, F"
10/5/16,"HospMed 1A ",NA,"T, F"
10/19/16,"OB 1B ",NA,"T"
11/2/16,"OB 1B ",NA,"T"
11/16/16,"FMC1 ", M,"T, W, F"
11/30/16,"FMC1 ", M,"T, W, F"
12/14/16,"Gen Surg 1 ",NA,"T,F"
12/28/16,"Gen Surg 1 ",NA,"T,F"
1/11/17,"EM1 ",NA," T,F"
1/25/17,"EM1 ",NA," T,F"
2/8/17,"Peds CHO ",NA, T
2/22/17,"Peds CHO ",NA, T
3/8/17,"Ortho 1 ",NA," T,F"
3/22/17,"NHO ",NA,NA
4/5/17,"HospMed 1B ",NA," T,F"
4/19/17,"HospMed 1B ",NA," T,F"
5/3/17,"OB 1A ",NA," T,F"
5/17/17,"OB 1A ",NA," T,F"
5/31/17,"Newborn ",NA," T,F"
6/14/17,"Newborn ",NA," T,F"
