Date,Block Type,AM,PM
6/28/16,"OB 3A ",Th,"M,Th,F"
7/13/16,"OB 3A ",Th,"M,Th,F"
7/27/16,"Elective None",NA,NA
8/10/16,"Elective None",NA,NA
8/24/16,"TRK2 ",NA,"M,Th,F"
9/7/16,"Ortho3 ",NA,"M,Th,F"
9/21/16,"ICU 3 ",NA,"M,Th,F"
10/5/16,"ICU 3 ",NA,"M,Th,F"
10/19/16,"MOP ",NA,"M,W,Th,F"
11/2/16,"MOP ",NA,"M,W,Th,F"
11/16/16,"NA None",NA,NA
11/30/16,"TRK ",NA,"M,Th,F"
12/14/16,"OB 3B ",NA,"M,Th,F"
12/28/16,"OB 3B ",NA,"M,Th,F"
1/11/17,"EM 3 ",M,"M,Th,F"
1/25/17,"EM 3 ",M,"M,Th,F"
2/8/17,"HospMed 3A ",NA,"M,Th,F"
2/22/17,"HospMed 3A ",NA,"M,Th,F"
3/8/17,CHO ER,"M,Th","M,Th"
3/22/17,CHO ER,"M,Th","M,Th"
4/5/17,"Jeop ",NA,"M,Th,F"
4/19/17,"NF None",NA,NA
5/3/17,"FMC3 ",M,"M,Th,F"
5/17/17,"FMC3 ",M,"M,Th,F"
5/31/17,"HospMed 3B ",NA,"M,Th,F"
6/14/17,"HospMed 3B ",NA,"M,Th,F"
